Vara,Tithi,TithiStart,TithiEnd,TithiDuration,Nakshatra,NakshatraStart,NakshatraEnd,NakshatraDuration,Yoga,YogaStart,YogaEnd,YogaDuration,Sunrise,Sunset,MoonriseDate,MoonriseTime,MoonsetDate,MoonsetTime
Shukrwar,Krishna Paksha Pratipada[Tithi Kshaya],Aug 12 07:05AM,Aug 13 03:47AM,1242,Dhanishta,Aug 12 04:07AM,Aug 13 01:35AM,1288,Saubhagya,Aug 11 03:32PM,Aug 12 11:33AM,1201,5:52AM,6:59PM,Aug-12,7:40PM,Aug-13,6:53AM
Shaniwar,Krishna Paksha Dwitiya,Aug 13 03:47AM,Aug 14 12:53AM,1266,Shatabhisha,Aug 13 01:36AM,Aug 13 11:28PM,1312,Sobhana,Aug 12 11:33AM,Aug 13 07:49AM,1216,5:53AM,6:58PM,Aug-13,8:19PM,Aug-14,07:59AM
Raviwar,Krishna Paksha Tritiya,Aug 14 12:53AM,Aug 14 10:36PM,1303,Purva Bhadrapada,Aug 13 11:28PM,Aug 14 09:56PM,1348,Atiganda,Aug 13 07:49AM,Aug 14 04:28AM,1239,5:53AM,06:57PM,Aug-14,8:54PM,Aug-15,9:03AM
Somwar,Krishna Paksha Chaturthi,Aug 14 10:36PM,Aug 15 09:02PM,1346,Uttara Bhadrapada,Aug 14 09:56PM,Aug 15 09:07PM,1391,Sukarman,Aug 14 04:28AM,Aug 15 01:37AM,1269,5:54AM,06:56PM,Aug-15,9:26PM,Aug-16,10:03AM
Mangalwar,Krishna Paksha Panchami,Aug 15 09:02PM,Aug 16 08:17PM,1395,Revati,Aug 15 09:07PM,Aug 16 09:06PM,1439,Dhrithi,Aug 15 01:37AM,Aug 15 11:23PM,1306,5:54AM,6:55PM,Aug-16,9:58PM,Aug-17,11:02AM
Budhwar,Krishna Paksha Shashthi,Aug 16 08:17PM,Aug 17 08:24PM,1440,Ashwini,Aug 16 09:07PM,Aug 17 09:57PM,1490,Soola,Aug 15 11:23PM,Aug 16 09:49PM,1346,5:55AM,6:54PM,Aug-17,10:30PM,Aug-18,12:00AM
Guruwar,Krishna Paksha Saptami,Aug 17 08:24PM,Aug 18 09:21PM,1497,Bharani,Aug 17 09:57PM,Aug 18 11:35PM,1538,Ganda,Aug 16 09:49PM,Aug 17 08:56PM,1387,5:56AM,6:53PM,Aug-18,11:03PM,Aug-18,12:00AM
Shukrwar,Krishna Paksha Ashtami,Aug 18 09:21PM,Aug 19 10:59PM,1538,Krithika,Aug 18 11:35PM,Aug 20 01:53AM,1578,Vridhi,Aug 17 08:56PM,Aug 18 08:41PM,1425,5:56AM,6:52PM,Aug-19,11:40PM,Aug-19,12:58PM
Shaniwar,Krishna Paksha Navami,Aug 19 10:59PM,Aug 21 01:09AM,1570,Rohini,Aug 20 01:53AM,Aug 21 04:40AM,1607,Dhruva,Aug 18 08:41PM,Aug 19 08:59PM,1458,5:57AM,06:51PM, Aug 20,12:21 AM,Aug-20,01:55 PM
Raviwar,Krishna Paksha Dashami ,Aug 21 01:09AM ,Aug 22 03:36AM,1587,Mrigashirsha ,Aug 21 04:40AM,Aug 22 07:41AM,1621,Vyaghata,Aug 19 08:59PM,Aug 20 09:41PM,1482,5:57AM,06:50 PM, Aug 21,12:21 AM, Aug 21,02:51PM
Somwar,Krishna Paksha Ekadashi [Tithi Vridhi],Aug 22 03:36AM,Aug 23 06:07AM,1591,Ardra,Aug 22 07:41AM,Aug 23 10:44AM,1623,Harshana,Aug 20 09:41PM,Aug 21 10:38PM,1497,5:58AM,06:49PM,Aug-22,1:06AM,Aug-22,3:44PM
Mangalwar,Krishna Paksha Dwadashi,Aug 23 06:07AM,Aug 24 08:30AM,1583,Punarvasu,Aug 23 10:44AM,Aug 24 01:38PM,1614,Vajra,Aug 21 10:38PM,Aug 22 11:40PM,1502,5:58AM,6.48PM,Aug-23,1:56AM,Aug-23,4:34PM
Budhwar,Krishna Paksha Trayodashi,Aug 24 08:30AM,Aug 25 10:38AM,1568,Pushya,Aug 24 01:38PM,Aug 25 04:16PM,1598,Siddhi,Aug 22 11:40PM,Aug 24 12:38AM,1490,5:59AM,6:47PM,Aug-24,2:49AM,Aug-24,5:19PM
Guruwar,Krishna Paksha Chaturdashi,Aug 25 10:38AM,Aug 26 12:24PM,1546,Ashlesha,Aug 25 04:16PM,Aug 26 06:33PM,1577,Vyatipata,Aug 24 12:38AM,Aug 25 01:25AM,1487,5:59AM,6:46PM,Aug-25,3:45AM,Aug-25,5:59PM
Shukrwar,Krishna Paksha Amavasya ,Aug 26 12:24PM,Aug 27 01:47PM,1523,Magha,Aug 26 06:33PM,Aug 27 08:26PM,1553,Variyan,Aug 25 01:25AM,Aug 26 01:57AM,1472,6:00AM,6:45PM,Aug-26,4:42AM,Aug-26,6:35PM
