KaranaStartDate,KaranaEndDate,KaranaStartTime,KaranaEndTime,Karana,Duration
Aug-11,Aug-12,08:51PM,07:05AM,Bava,614
Aug-12,Aug-12,07:05AM,05:23PM,Balava,618
Aug-12,Aug-13,05:23PM,03:47AM,Kaulava,624
Aug-13,Aug-13,03:47AM,02:16PM,Taitila,629
Aug-13,Aug-14,02:16PM,12:53AM,Garija,637
Aug-14,Aug-14,12:53AM,11:40AM,Vanija,647
Aug-14,Aug-14,11:40AM,10:36PM,Vishti,656
Aug-14,Aug-15,10:36PM,09:43AM,Bava1,667
Aug-15,Aug-15,09:43AM ,09:02PM,Balava1,679
Aug-15,Aug-16,09:02PM,08:33AM,Kaulava1,691
Aug-16,Aug-16,08:33AM,08:17PM,Taitila1,704
Aug-16,Aug-17,08:17PM,08:15AM,Garija1,718
Aug-17,Aug-17,08:15AM,08:25PM,Vanija1,730
Aug-17,Aug-18,08:25PM,08:47AM,Vishti1,742
Aug-18,Aug-18,08:47AM,09:21PM,Bava2,754
Aug-18,Aug-19,09:21PM,10:06AM,Balava2,765
Aug-19,Aug-19,10:06AM,10:59PM,Kaulava2,773
Aug-19,Aug-20,10:59PM,12:01PM,Taitila2,782
Aug-20,Aug-21,12:01PM,01:09AM,Garija2,788
Aug-21,Aug-21,01:09AM,02:21PM,Vanija2,792
Aug-21,Aug-22,02:21PM,03:36AM,Vishti2,795
Aug-22,Aug-22,03:36AM,04:52PM,Bava3,796
Aug-22,Aug-23,04:52PM,06:07AM,Balava3,795
Aug-23,Aug-23,06:07AM,07:20PM,Kaulava3,793
Aug-23,Aug-24,07:20PM,08:31AM,Taitila3,791
Aug-24,Aug-24,08:31AM,09:37PM,Garija3,786
Aug-24,Aug-25,09:37PM,10:38AM,Vanija3,781
Aug-25,Aug-25,10:38AM ,11:34PM,Vishti3,776
Aug-25,Aug-26,11:34PM ,12:24PM,Shakuni,770
Aug-26,Aug-27,12:24PM,01:08AM,Chatushpada,764
Aug-27,Aug-27,01:08AM,01:47PM,Naga ,759
Aug-27,Aug-28,01:47PM,02:19AM,Kimstughna,752
Aug-28,Aug-28,02:19AM,02:45PM,Bava4,746
Aug-28,Aug-29,02:45PM,03:06AM,Balava4,741
Aug-29,Aug-29,03:06AM,03:21PM,Kaulava4,735
Aug-29,Aug-30,03:21PM,03:30AM,Taitila4,729
Aug-30,Aug-30,03:30AM,03:33PM,Garija4,723
Aug-30,Aug-31,03:33PM,03:31AM,Vanija4,718
Aug-31,Aug-31,03:31AM,03:23PM,Vishti4,712
Aug-31,Sep-01,03:23PM,03:09AM,Bava5,706
Sep-01,Sep-01,03:09AM,02:49PM,Balava5,700
Sep-01,Sep-02,02:49PM,02:23AM,Kaulava5,694
Sep-02,Sep-02,02:23AM,01:51PM,Taitila5,688
Sep-02,Sep-03,01:51PM,01:13AM,Garija5,682
Sep-03,Sep-03,01:13AM,12:28PM,Vanija5,675
Sep-03,Sep-03,12:28PM,11:37PM,Vishti5,669
Sep-03,Sep-04,11:37PM,10:40AM,Bava6,663
Sep-04,Sep-04,10:40AM,09:37PM,Balava6,657
Sep-04,Sep-05,09:37PM,08:28AM,Kaulava6,651
Sep-05,Sep-05,08:28AM,07:13PM,Taitila6,645
Sep-05,Sep-06,07:13PM,05:54AM,Garija6,641
Sep-06,Sep-06,05:54AM,04:31PM,Vanija6,637
Sep-06,Sep-07,04:31PM,03:05AM,Vishti6,634
Sep-07,Sep-07,03:05AM,01:36PM,Bava7,632
Sep-07,Sep-08,01:36PM,12:05AM,Balava7,629
Sep-08,Sep-08,12:05AM,10:34AM,Kaulava7,629
Sep-08,Sep-08,10:34AM,09:03PM,Taitila7,629
Sep-08,Sep-09,09:03PM,07:34AM,Garija7,631
Sep-09,Sep-09,07:34AM,06:08PM,Vanija7,634
Sep-09,Sep-10,06:08PM,04:46AM,Vishti7,638
Sep-10,Sep-10,04:46AM,03:29PM,Bava8,643
Sep-10,Sep-11,03:29PM,02:18AM,Balava8,649
Sep-11,Sep-11,02:18AM,01:15PM,Kaulava8,657
